species_english_name,on_haida_gwaii,cosewic_status,provincial_status,species_order,species_family
Red-winged Blackbird,Yes,0,"S5B,S5N",Passeriformes,Icteridae
Redhead,Yes,0,"S4B,S5N",Anseriformes,Anatidae
Rhinoceros Auklet,Yes,0,S4,Charadriiformes,Alcidae
Ring-billed Gull,Yes,0,S4?B,Charadriiformes,Laridae
Ring-necked Duck,Yes,0,"S5B,S5N",Anseriformes,Anatidae
Ring-necked Pheasant,Introduced species,0,SNA,Galliformes,Phasianidae
Rock Pigeon,Introduced species,0,SNA,Columbiformes,Columbidae
Rock Ptarmigan,Yes,0,S4S5,Galliformes,Phasianidae
Rock Sandpiper,Yes,0,S4N,Charadriiformes,Scolopacidae
Rose-breasted Grosbeak,Yes,0,S4S5B,Passeriformes,Cardinalidae
Ruby-crowned Kinglet,Yes,0,S5,Passeriformes,Regulidae
Ruddy Duck,Yes,0,S5,Anseriformes,Anatidae
Ruddy Turnstone,Yes,0,S4M,Charadriiformes,Scolopacidae
Ruff,Yes,0,SNA,Charadriiformes,Scolopacidae
Ruffed Grouse,Yes,0,S5,Galliformes,Phasianidae
Rufous Hummingbird,Yes,0,S4S5B,Apodiformes,Trochilidae
Rustic Bunting,Rare/Accidental,0,SNA,Passeriformes,Emberizidae
Rusty Blackbird,Yes,Special Concern,S3S4B,Passeriformes,Icteridae
Sabine's Gull,Yes,0,S4M,Charadriiformes,Laridae
Sanderling,Yes,0,S4S5N,Charadriiformes,Scolopacidae
Sandhill Crane,Yes,Not at Risk,S4B,Gruiformes,Gruidae
Savannah Sparrow,Yes,0,S5B,Passeriformes,Passerellidae
Say's Phoebe,Yes,0,S5B,Passeriformes,Tyrannidae
Semipalmated Plover,Yes,0,S4S5B,Charadriiformes,Charadriidae
Semipalmated Sandpiper,Yes,0,SUM,Charadriiformes,Scolopacidae
Sharp-shinned Hawk,Yes,Not at Risk,"S5B,S5N",Accipitriformes,Accipitridae
Sharp-tailed Sandpiper,Yes,0,S4M,Charadriiformes,Scolopacidae
Short-billed Dowitcher,Yes,0,S2S3B,Charadriiformes,Scolopacidae
Short-eared Owl,Yes,Special Concern,"S3B,S2N",Strigiformes,Strigidae
Short-tailed Albatross,Yes,Threatened,S1N,Procellariiformes,Diomedeidae
Short-tailed Shearwater,Yes,0,SUM,Procellariiformes,Procellariidae
Smith's Longspur,Yes,0,S3S5B,Passeriformes,Calcariidae
Snow Bunting,Yes,0,"S4?B,S5?N",Passeriformes,Calcariidae
Snow Goose,Yes,0,S4M,Anseriformes,Anatidae
Snowy Owl,Yes,Not at Risk,SUN,Strigiformes,Strigidae
Snowy Plover,Rare/Accidental,0,SNA,Charadriiformes,Charadriidae
Solitary Sandpiper,Yes,0,S5B,Charadriiformes,Scolopacidae
Song Sparrow,Yes,0,S5,Passeriformes,Passerellidae
Sooty Grouse,Yes,0,S4,Galliformes,Phasianidae
Sooty Shearwater,Yes,0,SNRM,Procellariiformes,Procellariidae
Sora,Yes,0,S5,Gruiformes,Rallidae
South Polar Skua,Yes,0,SUM,Charadriiformes,Stercorariidae
Spotted Redshank,Rare/Accidental,0,SNA,Charadriiformes,Scolopacidae
Spotted Sandpiper,Yes,0,S5B,Charadriiformes,Scolopacidae
Spotted Towhee,Yes,0,S5,Passeriformes,Passerellidae
Spruce Grouse,Yes,0,S5,Galliformes,Phasianidae
Steller's Eider,Rare/Accidental,0,SNA,Anseriformes,Anatidae
Steller's Jay,Yes,0,S5,Passeriformes,Corvidae
Surf Scoter,Yes,0,"S3B,S4N",Anseriformes,Anatidae
Surfbird,Yes,0,S4M,Charadriiformes,Scolopacidae
Swainson's Thrush,Yes,0,S5B,Passeriformes,Turdidae
Swamp Sparrow,Yes,0,S4S5,Passeriformes,Passerellidae
Tennessee Warbler,Yes,0,S5B,Passeriformes,Parulidae
Thick-billed Murre,Yes,0,"S1B, SUN",Charadriiformes,Alcidae
Townsend's Solitaire,Yes,0,S5B,Passeriformes,Turdidae
Townsend's Warbler,Yes_d,0,S5B,Passeriformes,Parulidae
Tree Swallow,Yes,0,S4S5B,Passeriformes,Hirundinidae
Trumpeter Swan,Yes,Not at Risk,"S4B,S5N",Anseriformes,Anatidae
Tufted Puffin,Yes,0,"S2S3B,S4N",Charadriiformes,Alcidae
Tundra Swan,Yes,0,S3N,Anseriformes,Anatidae
Upland Sandpiper,Yes,0,S2B,Charadriiformes,Scolopacidae
Varied Thrush,Yes,0,S5,Passeriformes,Turdidae
Vaux's Swift,Yes,0,S5B,Apodiformes,Apodidae
Veery,Yes,0,S5B,Passeriformes,Turdidae
Violet-green Swallow,Yes,0,S4S5B,Passeriformes,Hirundinidae
Virginia Rail,Yes,0,S4S5,Gruiformes,Rallidae
Wandering Tattler,Yes,0,S3B,Charadriiformes,Scolopacidae
Warbling Vireo,Yes,0,S5B,Passeriformes,Vireonidae
Western Grebe,Yes,Special Concern,"S1B,S2N",Podicipediformes,Podicipedidae
Western Gull,Yes,0,SUN,Charadriiformes,Laridae
Western Meadowlark,Yes,0,"S4B, SNRN",Passeriformes,Icteridae
Western Sandpiper,Yes,0,S4M,Charadriiformes,Scolopacidae
Western Tanager,Yes_d,0,S5B,Passeriformes,Cardinalidae
Western Wood-Pewee,Yes,0,S5B,Passeriformes,Tyrannidae
Whimbrel,Yes,0,S1S2B,Charadriiformes,Scolopacidae
White-crowned Sparrow,Yes,0,S5,Passeriformes,Passerellidae
White-throated Sparrow,Yes,0,S5,Passeriformes,Passerellidae
White-winged Crossbill,Yes,0,S5,Passeriformes,Fringillidae
White-winged Scoter,Yes,0,S4S5,Anseriformes,Anatidae
Wilson's Snipe,Yes,0,S5B,Charadriiformes,Scolopacidae
Wilson's Warbler,Yes,0,S5B,Passeriformes,Parulidae
Winter Wren,Rare/Accidental,0,S3S4B,Passeriformes,Troglodytidae
Wood Duck,Yes,0,"S4B,S4N",Anseriformes,Anatidae
Wood Sandpiper,Yes,0,SNA,Charadriiformes,Scolopacidae
Yellow Warbler,Yes,0,S5B,Passeriformes,Parulidae
Yellow-billed Loon,Rare/Accidental,Not at Risk,S2S3N,Gaviiformes,Gaviidae
Yellow-headed Blackbird,Yes,0,S4B,Passeriformes,Icteridae
Yellow-rumped Warbler,Yes,0,S5B,Passeriformes,Parulidae
