"","file_path","size_Mb","file_name","location","recording_date_time","file_type","julian","year","gps_enabled","time_index","length_seconds","sample_rate","n_channels"
"22","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121030_191900_d.wav",345.6,"HGBC-BEIT-1_20121030_191900_d","HGBC-BEIT-1",2012-10-30 19:19:00,"wav",304,2012,NA,2,7200,24000,1
"23","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121031_054500_d.wav",345.6,"HGBC-BEIT-1_20121031_054500_d","HGBC-BEIT-1",2012-10-31 05:45:00,"wav",305,2012,NA,1,7200,24000,1
"24","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121031_191700_d.wav",345.6,"HGBC-BEIT-1_20121031_191700_d","HGBC-BEIT-1",2012-10-31 19:17:00,"wav",305,2012,NA,2,7200,24000,1
"25","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121101_054700_d.wav",345.6,"HGBC-BEIT-1_20121101_054700_d","HGBC-BEIT-1",2012-11-01 05:47:00,"wav",306,2012,NA,1,7200,24000,1
"26","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121101_191500_d.wav",345.6,"HGBC-BEIT-1_20121101_191500_d","HGBC-BEIT-1",2012-11-01 19:15:00,"wav",306,2012,NA,2,7200,24000,1
"27","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121102_054900_d.wav",345.6,"HGBC-BEIT-1_20121102_054900_d","HGBC-BEIT-1",2012-11-02 05:49:00,"wav",307,2012,NA,1,7200,24000,1
"28","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121102_191400_d.wav",345.6,"HGBC-BEIT-1_20121102_191400_d","HGBC-BEIT-1",2012-11-02 19:14:00,"wav",307,2012,NA,2,7200,24000,1
"29","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121103_055000_d.wav",345.6,"HGBC-BEIT-1_20121103_055000_d","HGBC-BEIT-1",2012-11-03 05:50:00,"wav",308,2012,NA,1,7200,24000,1
"30","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121103_191200_d.wav",345.6,"HGBC-BEIT-1_20121103_191200_d","HGBC-BEIT-1",2012-11-03 19:12:00,"wav",308,2012,NA,2,7200,24000,1
"31","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121104_055200_d.wav",345.6,"HGBC-BEIT-1_20121104_055200_d","HGBC-BEIT-1",2012-11-04 05:52:00,"wav",309,2012,NA,1,7200,24000,1
"32","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121104_191000_d.wav",345.6,"HGBC-BEIT-1_20121104_191000_d","HGBC-BEIT-1",2012-11-04 19:10:00,"wav",309,2012,NA,2,7200,24000,1
"33","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121105_055400_d.wav",345.6,"HGBC-BEIT-1_20121105_055400_d","HGBC-BEIT-1",2012-11-05 05:54:00,"wav",310,2012,NA,1,7200,24000,1
"34","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121105_190800_d.wav",345.6,"HGBC-BEIT-1_20121105_190800_d","HGBC-BEIT-1",2012-11-05 19:08:00,"wav",310,2012,NA,2,7200,24000,1
"35","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121106_055600_d.wav",345.6,"HGBC-BEIT-1_20121106_055600_d","HGBC-BEIT-1",2012-11-06 05:56:00,"wav",311,2012,NA,1,7200,24000,1
"36","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121106_190600_d.wav",345.6,"HGBC-BEIT-1_20121106_190600_d","HGBC-BEIT-1",2012-11-06 19:06:00,"wav",311,2012,NA,2,7200,24000,1
"37","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121107_055800_d.wav",345.6,"HGBC-BEIT-1_20121107_055800_d","HGBC-BEIT-1",2012-11-07 05:58:00,"wav",312,2012,NA,1,7200,24000,1
